JobID,HDRUserLicenseCode,HDRJobNameTitleAndIssue,HDRLicensedUsersJobNumber,SegmentID,MPUName,MPUClass,MPUProcessingCategory,NumberOfCopies,GrossWeight,NetWeight,EntryPoint,EntryPointFacilityType,IMBarcode,UniqueContainerID,DisplayContainerID,ContainerShipDate,ContainerShipTime,ScheduledInductionDate,ScheduledInductionTime,PostageStatementMailingDate,PostageStatementMailingTime,ScheduledInHomeDate,AdditionalInHomeRange,ContainerType,ContainerLevel,CSMHandlingUnitCount,EPDeliveryLocaleKey,ContainerNo,IsSibling,SiblingParent,FinalDeliveryLocaleKey,EPDeliveryZip4,Zip4ForDestinationZip,eInductionIndicator,AcceptMisshipped
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,8947,306.0425,246.0425,936,S,99M200274000000091657,TRIWP0009FZE,47,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,24,LOCZ21209,2299,,0,LOCZ21209,937068000,937068000,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,16564,556.91,455.51,945,S,99M200274000000091659,TRIWP0009FZG,49,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,50,LOCZ22295,2301,,0,LOCZ22295,946150001,946150001,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,18602,620.755,511.555,956,S,99M200274000000091661,TRIWP0009FZI,51,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,55,LOCZ22760,2303,,0,LOCZ22760,957990199,957990199,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,9936,339.24,273.24,956,S,99M200274000000091662,TRIWP0009FZJ,52,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,28,LOCZ22760,2304,,0,LOCZ22760,957990199,957990199,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,18930,628.575,520.575,923,S,99M200274000000091651,TRIWP0009FZ8,41,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,53,LOCZ22788,2293,,0,LOCZ22788,924039996,924039996,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,11857,399.2675,326.0675,923,S,99M200274000000091652,TRIWP0009FZ9,42,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,32,LOCZ22788,2294,,0,LOCZ22788,924039996,924039996,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,20028,670.17,550.77,920,S,99M200274000000091650,TRIWP0009FZ7,40,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,61,LOCZ22793,2292,,0,LOCZ22793,921999992,921999992,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,12859,435.2225,353.6225,950,S,99M200274000000091660,TRIWP0009FZH,50,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,38,LOCZ22813,2302,,0,LOCZ22813,951019998,951019998,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,21148,700.37,581.57,917,S,99M200274000000091649,TRIWP0009FZ6,39,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,60,LOCZ22855,2291,,0,LOCZ22855,927990101,927990101,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,9373,324.9575,257.7575,926,S,99M200274000000091653,TRIWP0009FZA,43,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,31,LOCZ22855,2295,,0,LOCZ22855,927990101,927990101,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,15041,504.8275,413.6275,913,S,99M200274000000091648,TRIWP0009FZ5,38,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,44,LOCZ23707,2290,,0,LOCZ23707,913839997,913839997,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,7449,263.0475,204.8475,931,S,99M200274000000091655,TRIWP0009FZC,45,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,25,LOCZ23973,2297,,0,LOCZ23973,931999997,931999997,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,10528,361.52,289.52,940,S,99M200274000000091658,TRIWP0009FZF,48,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,33,LOCZ24019,2300,,0,LOCZ24019,948509751,948509751,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,24968,817.42,686.62,900,S,99M200274000000091646,TRIWP0009FZ3,36,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,66,LOCZ24121,2288,,0,LOCZ24121,900529998,900529998,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,17080,566.3,469.7,900,S,99M200274000000091647,TRIWP0009FZ4,37,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,46,LOCZ24121,2289,,0,LOCZ24121,900529998,900529998,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,8501,293.1775,233.7775,928,S,99M200274000000091654,TRIWP0009FZB,44,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,24,LOCZ24277,2296,,0,LOCZ24277,928999998,928999998,Y,
